web search	358	mark mccahill	3.0
web search	390	music information retrieval	3.0
web search	401	naver	3.0
web search	468	quantum computer	3.0
web search	622	webcrawler	3.0
web search	16	algorithm	2.0
web search	36	association for computing machinery	2.0
web search	44	automatic summarization	2.0
web search	98	comparison of web search engines	2.0
web search	135	dna	2.0
web search	172	desktop search	2.0
web search	199	eli pariser	2.0
web search	206	european summer school in information retrieval	2.0
web search	212	expertise finding	2.0
web search	238	genetics	2.0
web search	264	human%e2%80%93computer information retrieval	2.0
web search	269	ieee	2.0
web search	296	initial public offering	2.0
web search	334	latent semantic analysis	2.0
web search	367	medicine	2.0
web search	382	mugurdy	2.0
web search	427	organic search	2.0
web search	440	personal information management	2.0
web search	448	precision and recall	2.0
web search	456	probabilistic relevance model (bm25)	2.0
web search	459	programming language	2.0
web search	461	proximity search (text)	2.0
web search	463	public library	2.0
web search	466	quaero	2.0
web search	475	rank order	2.0
web search	484	relevance feedback	2.0
web search	511	searchme	2.0
web search	516	search engine (disambiguation)	2.0
web search	531	social science research network	2.0
web search	546	spell checker	2.0
web search	562	subject indexing	2.0
web search	577	text corpora	2.0
web search	608	vannevar bush	2.0
web search	614	viewzi	2.0
web search	617	vivisimo	2.0
web search	645	wikiseek	2.0
web search	33	artificial neural network	1.0
web search	34	as we may think	1.0
web search	37	association rule	1.0
web search	38	association rule learning	1.0
web search	39	association rule mining	1.0
web search	40	association rules	1.0
web search	48	bibliometrics	1.0
web search	56	blackle.com	1.0
web search	58	boogami	1.0
web search	59	boolean algebra	1.0
web search	63	business intelligence	1.0
web search	85	clarabridge	1.0
web search	90	cognitive science	1.0
web search	161	data warehouse	1.0
web search	163	database management system	1.0
web search	179	discounted cumulative gain	1.0
web search	211	expert system	1.0
web search	216	f-score	1.0
web search	235	general architecture for text engineering	1.0
web search	237	genetic algorithms	1.0
web search	246	goodsearch	1.0
web search	253	graph theory	1.0
web search	273	imperial college london	1.0
web search	280	information retrieval facility	1.0
web search	289	information retrieval applications	1.0
web search	295	infoseek	1.0
web search	301	intellectual property	1.0
web search	304	international standard book number	1.0
web search	309	j. c. r. licklider	1.0
web search	310	jasis	1.0
web search	319	jughead jones	1.0
web search	335	latent semantic indexing	1.0
web search	347	looksmart	1.0
web search	349	matrix	1.0
web search	355	machine learning	1.0
web search	407	northern light group	1.0
web search	408	number theory	1.0
web search	414	online analytical processing	1.0
web search	430	outline of information science	1.0
web search	458	profiling practices	1.0
web search	471	quora	1.0
web search	483	relevance (information retrieval)	1.0
web search	486	requirements analysis	1.0
web search	506	sql	1.0
web search	508	scalability	1.0
web search	512	search engine watch	1.0
web search	521	search oriented architecture	1.0
web search	536	software design	1.0
web search	541	sogou.com	1.0
web search	545	special interest group on information retrieval	1.0
web search	550	sproose	1.0
web search	565	supreme court of the united states	1.0
web search	595	uima	1.0
web search	651	xml-retrieval	1.0
web search	657	yummly	1.0
web search	0	1890 us census	0.0
web search	2	acm computing classification system	0.0
web search	3	advise	0.0
web search	6	academic press	0.0
web search	8	accuracy and precision	0.0
web search	9	actuate corporation	0.0
